YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2010,2010,GA,Georgia,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(32.83968109300048, -83.62758034599966)", ,13,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,HI,Hawaii,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,7.84,7.84, , ,7.38,8.3,Overall,Overall, , , , ,"(21.304850435000446, -157.85774940299973)", ,15,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,IA,Iowa,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,7.16,7.16, , ,6.86,7.45,Overall,Overall, , , , ,"(42.46940091300047, -93.81649055599968)", ,19,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,ID,Idaho,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(43.682630005000476, -114.3637300419997)", ,16,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,IL,Illinois,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(40.48501028300046, -88.99771017799969)", ,17,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,IN,Indiana,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(39.766910452000445, -86.14996019399968)", ,18,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,KS,Kansas,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(38.34774030000045, -98.20078122699965)", ,20,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,KY,Kentucky,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,15.09,15.09, , ,14.73,15.45,Overall,Overall, , , , ,"(37.645970271000465, -84.77497104799966)", ,21,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,LA,Louisiana,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(31.31266064400046, -92.44568007099969)", ,22,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,MA,Massachusetts,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,15.54,15.54, , ,15.23,15.84,Overall,Overall, , , , ,"(42.27687047000046, -72.08269067499964)", ,25,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,MD,Maryland,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,16.21,16.21, , ,15.88,16.54,Overall,Overall, , , , ,"(39.29058096400047, -76.60926011099963)", ,24,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,ME,Maine,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(45.254228894000505, -68.98503133599962)", ,23,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,MI,Michigan,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,14.99,14.99, , ,14.75,15.23,Overall,Overall, , , , ,"(44.6613195430005, -84.71439026999968)", ,26,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,MN,Minnesota,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(46.35564873600049, -94.79420050299967)", ,27,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,MO,Missouri,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(38.635790776000476, -92.56630005299968)", ,29,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,MS,Mississippi,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,15.6,15.6, , ,15.16,16.05,Overall,Overall, , , , ,"(32.745510099000455, -89.53803082499968)", ,28,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,MT,Montana,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(47.06652897200047, -109.42442064499971)", ,30,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,NC,North Carolina,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,10.83,10.83, , ,10.62,11.04,Overall,Overall, , , , ,"(35.466220975000454, -79.15925046299964)", ,37,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,ND,North Dakota,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(47.47531977900047, -100.11842104899966)", ,38,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,NE,Nebraska,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,7.23,7.23, , ,6.84,7.61,Overall,Overall, , , , ,"(41.6410409880005, -99.36572062299967)", ,31,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,NH,New Hampshire,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(43.65595011300047, -71.50036091999965)", ,33,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,NJ,New Jersey,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,16.75,16.75, , ,16.48,17.01,Overall,Overall, , , , ,"(40.13057004800049, -74.27369128799967)", ,34,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,NM,New Mexico,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,8.71,8.71, , ,8.31,9.11,Overall,Overall, , , , ,"(34.52088095200048, -106.24058098499967)", ,35,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,NV,Nevada,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,10.71,10.71, , ,10.32,11.1,Overall,Overall, , , , ,"(39.493240390000494, -117.07184056399967)", ,32,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,NY,New York,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,18.9,18.9, , ,18.7,19.09,Overall,Overall, , , , ,"(42.82700103200045, -75.54397042699964)", ,36,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,OH,Ohio,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(40.06021014100048, -82.40426005599966)", ,39,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,OK,Oklahoma,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(35.47203135600046, -97.52107021399968)", ,40,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,OR,Oregon,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,6.07,6.07, , ,5.82,6.31,Overall,Overall, , , , ,"(44.56744942400047, -120.15503132599969)", ,41,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,PA,Pennsylvania,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(40.79373015200048, -77.86070029399963)", ,42,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,RI,Rhode Island,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,15.34,15.34, , ,14.58,16.09,Overall,Overall, , , , ,"(41.70828019300046, -71.52247031399963)", ,44,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,SC,South Carolina,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,12.91,12.91, , ,12.59,13.23,Overall,Overall, , , , ,"(33.998821303000454, -81.04537120699968)", ,45,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,SD,South Dakota,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,6.83,6.83, , ,6.27,7.39,Overall,Overall, , , , ,"(44.353130053000484, -100.3735306369997)", ,46,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,TN,Tennessee,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(35.68094058000048, -85.77449091399967)", ,47,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,TX,Texas,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(31.827240407000488, -99.42677020599967)", ,48,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,UT,Utah,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,5.38,5.38, , ,5.11,5.65,Overall,Overall, , , , ,"(39.360700171000474, -111.58713063499971)", ,49,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,VA,Virginia,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(37.54268067400045, -78.45789046299967)", ,51,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,VT,Vermont,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,4.7,4.7, , ,4.17,5.24,Overall,Overall, , , , ,"(43.62538123900049, -72.51764079099962)", ,50,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,WA,Washington,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,7.31,7.31, , ,7.1,7.51,Overall,Overall, , , , ,"(47.52227862900048, -120.47001078999972)", ,53,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,WI,Wisconsin,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,8.46,8.46, , ,8.22,8.7,Overall,Overall, , , , ,"(44.39319117400049, -89.81637074199966)", ,55,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,WV,West Virginia,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate,14.4,14.4, , ,13.87,14.93,Overall,Overall, , , , ,"(38.66551020200046, -80.71264013499967)", ,54,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,WY,Wyoming,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Age-adjusted Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(43.23554134300048, -108.10983035299967)", ,56,AST,AST3_1,AGEADJRATE,OVERALL,OVR, , , , 
2010,2010,AK,Alaska,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(64.84507995700051, -147.72205903599973)", ,2,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,AL,Alabama,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(32.84057112200048, -86.63186076199969)", ,1,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,AR,Arkansas,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate,9.72,9.72, , ,9.36,10.08,Overall,Overall, , , , ,"(34.74865012400045, -92.27449074299966)", ,5,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,AZ,Arizona,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate,12.59,12.59, , ,12.32,12.87,Overall,Overall, , , , ,"(34.865970280000454, -111.76381127699972)", ,4,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,CA,California,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate,9.26,9.26, , ,9.17,9.36,Overall,Overall, , , , ,"(37.63864012300047, -120.99999953799971)", ,6,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,CO,Colorado,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate,8.59,8.59, , ,8.33,8.84,Overall,Overall, , , , ,"(38.843840757000464, -106.13361092099967)", ,8,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,CT,Connecticut,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(41.56266102000046, -72.64984095199964)", ,9,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,DC,District of Columbia,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(38.907192, -77.036871)", ,11,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,DE,Delaware,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(39.008830667000495, -75.57774116799965)", ,10,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,FL,Florida,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate,16,16, , ,15.82,16.18,Overall,Overall, , , , ,"(28.932040377000476, -81.92896053899966)", ,12,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,GA,Georgia,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(32.83968109300048, -83.62758034599966)", ,13,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,HI,Hawaii,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate,8.27,8.27, , ,7.79,8.75,Overall,Overall, , , , ,"(21.304850435000446, -157.85774940299973)", ,15,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,IA,Iowa,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate,7.38,7.38, , ,7.07,7.68,Overall,Overall, , , , ,"(42.46940091300047, -93.81649055599968)", ,19,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,ID,Idaho,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(43.682630005000476, -114.3637300419997)", ,16,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,IL,Illinois,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(40.48501028300046, -88.99771017799969)", ,17,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,IN,Indiana,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(39.766910452000445, -86.14996019399968)", ,18,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,KS,Kansas,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(38.34774030000045, -98.20078122699965)", ,20,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,KY,Kentucky,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate,15.22,15.22, , ,14.85,15.59,Overall,Overall, , , , ,"(37.645970271000465, -84.77497104799966)", ,21,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,LA,Louisiana,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(31.31266064400046, -92.44568007099969)", ,22,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,MA,Massachusetts,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate,15.45,15.45, , ,15.15,15.75,Overall,Overall, , , , ,"(42.27687047000046, -72.08269067499964)", ,25,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,MD,Maryland,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate,16.44,16.44, , ,16.11,16.77,Overall,Overall, , , , ,"(39.29058096400047, -76.60926011099963)", ,24,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,ME,Maine,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(45.254228894000505, -68.98503133599962)", ,23,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,MI,Michigan,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate,15.43,15.43, , ,15.19,15.68,Overall,Overall, , , , ,"(44.6613195430005, -84.71439026999968)", ,26,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,MN,Minnesota,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(46.35564873600049, -94.79420050299967)", ,27,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,MO,Missouri,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(38.635790776000476, -92.56630005299968)", ,29,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,MS,Mississippi,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate,15.78,15.78, , ,15.33,16.23,Overall,Overall, , , , ,"(32.745510099000455, -89.53803082499968)", ,28,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,MT,Montana,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(47.06652897200047, -109.42442064499971)", ,30,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,NC,North Carolina,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate,10.94,10.94, , ,10.73,11.15,Overall,Overall, , , , ,"(35.466220975000454, -79.15925046299964)", ,37,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,ND,North Dakota,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(47.47531977900047, -100.11842104899966)", ,38,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,NE,Nebraska,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate,7.36,7.36, , ,6.96,7.75,Overall,Overall, , , , ,"(41.6410409880005, -99.36572062299967)", ,31,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,NH,New Hampshire,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(43.65595011300047, -71.50036091999965)", ,33,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,NJ,New Jersey,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate,17.14,17.14, , ,16.87,17.41,Overall,Overall, , , , ,"(40.13057004800049, -74.27369128799967)", ,34,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,NM,New Mexico,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate,8.75,8.75, , ,8.35,9.15,Overall,Overall, , , , ,"(34.52088095200048, -106.24058098499967)", ,35,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,NV,Nevada,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate,10.74,10.74, , ,10.35,11.13,Overall,Overall, , , , ,"(39.493240390000494, -117.07184056399967)", ,32,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,NY,New York,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate,18.87,18.87, , ,18.67,19.06,Overall,Overall, , , , ,"(42.82700103200045, -75.54397042699964)", ,36,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,OH,Ohio,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(40.06021014100048, -82.40426005599966)", ,39,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,OK,Oklahoma,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(35.47203135600046, -97.52107021399968)", ,40,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,OR,Oregon,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate,6.17,6.17, , ,5.93,6.42,Overall,Overall, , , , ,"(44.56744942400047, -120.15503132599969)", ,41,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,PA,Pennsylvania,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate, ,,-,No data available,,,Overall,Overall, , , , ,"(40.79373015200048, -77.86070029399963)", ,42,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,RI,Rhode Island,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate,15.05,15.05, , ,14.31,15.79,Overall,Overall, , , , ,"(41.70828019300046, -71.52247031399963)", ,44,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,SC,South Carolina,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate,13.11,13.11, , ,12.78,13.43,Overall,Overall, , , , ,"(33.998821303000454, -81.04537120699968)", ,45,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
2010,2010,SD,South Dakota,State Inpatient Data,Asthma,Hospitalizations for asthma, ,"cases per 10,000",Crude Rate,7.03,7.03, , ,6.46,7.61,Overall,Overall, , , , ,"(44.353130053000484, -100.3735306369997)", ,46,AST,AST3_1,CRDRATE,OVERALL,OVR, , , , 
